C1,C2
2722.9,2944.1
-1.7213,-46.374
1104,1496.2
410.32,165.5
8.5688,-3.8716
2668.9,3116.8
506.49,418.31
216.75,89.571
0.039551,-0.11241
-0.011126,0.0036414
0.94934,0.84947
