C1,C2
3315.9,3067.9
-4.8478,-14.97
1221.1,1506.5
323.37,237.07
41.096,-33.455
3220,3209.7
576.5,456.71
131.76,114.99
0.079802,-0.09678
-0.0034565,-4.89E-05
1.1312,0.91237
