C1,C2
2617.4,2329
-36.96,-17.017
1280.4,1854.9
280.69,129.31
-39.213,-197.59
2622.2,2779.8
605.36,487.45
182.82,163.71
-0.024149,-0.25272
-0.047416,-0.037103
0.94661,0.74492
