"","X","Year","Month","Day","Trial","Tailbeat_Num","Ablation","Darkness","Species","Flow","X_Center","Y_Center","X_SD","Y_SD","Z_SD","School_Polar","School_Speed","NND","Area","Groups","Mean_Groups","School_Height","Tailbeat_Freq"
"1",0,2021,8,3,8,1,"Y","N","Giant Danio",0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
"2",1,2021,8,3,8,2,"Y","N","Giant Danio",0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
"3",2,2021,8,3,8,3,"Y","N","Giant Danio",0,NA,NA,0,0,0,0.0526315789473684,6.02473144257424,NA,NA,0,0.421052631578947,0,1.3458596073558
"4",3,2021,8,3,8,4,"Y","N","Giant Danio",0,NA,NA,0,0,0,0.0986842105263158,7.22874641146598,NA,NA,1,0.789473684210526,0,0.516704095080056
"5",4,2021,8,3,8,5,"Y","N","Giant Danio",0,1.3444095562876,-0.531140090351655,0.0050865681806033,0.0986768958733983,0.0325045451735518,0.0785418693859687,1.8621998004416,NA,NA,1,1,0.0650090903471036,0.588685009438672
"6",5,2021,8,3,8,6,"Y","N","Giant Danio",0,1.63242573371697,-0.471317946523496,0,0,0,0.125,1.3459898788987,NA,NA,1,1,0,0.798739405898924
"7",6,2021,8,3,8,7,"Y","N","Giant Danio",0,1.49458248750897,0.215190825456231,0.534350379510393,0.117174892454028,0.785318729646314,0.15833289415338,3.72963859633635,NA,NA,1,1.47368421052632,1.67514813915662,0.893576687197905
"8",7,2021,8,3,8,8,"Y","N","Giant Danio",0,1.38560760836582,0.459331237277969,0.738628641005825,0.297192787389596,0.751747821655664,0.0700007374502038,4.26506388552713,1.12430750775744,0.00804867205774082,1,1.31578947368421,1.79398252151632,0.616582464950795
"9",8,2021,8,3,8,9,"Y","N","Giant Danio",0,1.41591443840332,0.866905877585335,0.564357699987559,0.346652588430618,0.925631222274051,0.0939595663530645,3.70356053429462,1.59973803462467,0.32750527465052,1,1,2.19509379980587,0.341548588049338
"10",9,2021,8,3,8,10,"Y","N","Giant Danio",0,1.14931231986925,1.92424343671052,0.71521764216847,0.29299884039802,1.30833129810719,0.14076105271622,3.18154934498663,NA,NA,1,1,2.90655912778419,0.310678937374401
"11",10,2021,8,3,8,11,"Y","N","Giant Danio",0,0.94039474326753,2.21879147197746,0.635274984443198,0.242315092986541,1.45562232538513,0.246518930420266,1.72129133102112,NA,NA,2,1.78947368421053,2.97002613233819,0.374879480893885
"12",11,2021,8,3,8,12,"Y","N","Giant Danio",0,1.09631146269206,2.36569004847269,0.527200872260326,0.467268096844866,1.0069444601492,0.357958599153216,4.3752720565257,1.35369872490506,0.374483327807338,1,1.47368421052632,2.49629562735351,0.773063145149596
"13",12,2021,8,3,8,13,"Y","N","Giant Danio",0,1.182555413686,2.20526544655681,0.97840022684735,0.36233152688998,0.735623468759648,0.399667052254024,4.550419989084,1.38774729067918,0.599515848844534,1,1,1.97544515547195,1.46290755372382
"14",13,2021,8,3,8,14,"Y","N","Giant Danio",0,1.41698448415612,1.48411599387944,0.952010568055404,0.37131042098905,1.09932674959478,0.54477428319385,3.70157477382166,1.56075915029329,0.582634776457904,1,1,3.28722502256687,0.865674774326834
"15",14,2021,8,3,8,15,"Y","N","Giant Danio",0,1.57822588754823,1.05110626400592,0.855655174768383,0.229762331191406,1.07722308766074,0.526748222950193,3.55781367848745,1.36481586689232,0.0945414471257052,1,1,3.02777909287759,0.85046828702044
"16",0,2020,7,28,11,1,"N","N","Giant Danio",0,3.31926931704518,0.720276329987928,1.37724541325379,0.618469319307133,0.416732543238381,0.175189140690586,2.26646418909135,0.81297982788286,1.62512337538586,1,1.10526315789474,1.43343337976765,0.735616007279296
"17",1,2020,7,28,11,2,"N","N","Giant Danio",0,3.13417328681165,0.900029623917638,1.43872908520135,0.646435138411961,0.614950152617914,0.212380212557614,2.22480557004667,1.09198790279719,2.32733837433001,1,1,1.91025696753714,0.372572414353324
"18",2,2020,7,28,11,3,"N","N","Giant Danio",0,2.91315257992394,1.03671960611342,1.28159051404588,0.553656775045624,1.17598152068488,0.387482564977568,2.71926822571663,1.40001825328294,5.91301695315948,1,1,3.87040074743762,0.407592719861429
"19",3,2020,7,28,11,4,"N","N","Giant Danio",0,2.91730727096949,0.966653089544726,1.12454013558638,0.566622893004181,0.682559570456212,0.192570684643043,2.41363868838586,0.977032370517615,1.80699831866368,1,1,2.24630766566715,0.510397661732189
"20",4,2020,7,28,11,5,"N","N","Giant Danio",0,3.0431699889261,0.953566013129435,0.976785285043847,0.61522359398759,0.461045083609487,0.0515996213273519,2.57920144593403,0.902383737577366,1.00295003900985,1,1,1.37264760178652,0.693138776253383
"21",5,2020,7,28,11,6,"N","N","Giant Danio",0,3.12252239739111,1.10592483416779,0.800507542355184,0.598030532144413,0.962738478786583,0.0917301159344374,2.64276153220949,1.23571203400487,2.45660031982965,1,1,2.94930263494128,0.432761975183015
"22",6,2020,7,28,11,7,"N","N","Giant Danio",0,3.19127916875982,1.21560151645388,0.748633133123791,0.716729189319377,0.777613151542801,0.0740243753239157,1.66756421891904,1.32246145340264,1.10285859249383,1,1,2.16980394791352,0.574571770015129
"23",7,2020,7,28,11,8,"N","N","Giant Danio",0,3.31631915261453,1.22652591667921,0.616486194048128,0.747785987205353,0.831612889560917,0.0809390707391685,1.27417891029823,1.26413296057076,0.756667621485307,1,1,2.22786353195151,0.75608309450497
