,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Species,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,NND,Area,Groups,Mean_Groups,School_Height,Tailbeat_Freq
0,2024,04,02,02,1,Y,N,Cherry Barb,0,14.314386229098817,0.43099889563405347,1.7935148465091713,0.793053249041404,0.5259502822250857,0.304006262687736,3.4374851712071957,2.4314821263852386,6.572659674968708,3.0,2.6842105263157894,1.3190136219757163,1.5086253652148984
1,2024,04,02,02,2,Y,N,Cherry Barb,0,14.47746502494409,0.4204561349171203,0.8356424208132427,0.5309133335597357,0.3761185572689698,0.1751431997090491,3.6826985370448315,1.7170031386571465,3.450499342535038,1.0,1.263157894736842,0.8835548704168495,0.9786293239856125
2,2024,04,02,02,3,Y,N,Cherry Barb,0,14.234203377516197,0.4417835063889018,1.572247855872499,0.8710635034996078,0.44449440143406443,0.3477845776390521,1.9640213029393905,1.5276499856488313,4.119426053235755,2.0,2.0,1.1859434364755552,0.7434558911391899
3,2024,04,02,02,4,Y,N,Cherry Barb,0,14.0251508261315,0.37655362949322174,1.4054699978913787,0.9216844393764553,0.3901100765229322,0.4391354343152843,1.666896659063876,1.4052901389215762,5.06392078892455,2.0,2.0,1.1267755959071266,0.7326555282512914
4,2024,04,02,02,5,Y,N,Cherry Barb,0,13.904735603394137,0.3590136978544477,1.3366815584874079,0.9332445463966517,0.4108661076374609,0.507885468973042,3.2165737921742497,1.3500861517901093,9.891248881735036,2.0,2.0,1.1840173644053633,1.1976058460144716
5,2024,04,02,02,6,Y,N,Cherry Barb,0,13.97052138513267,0.37695746385849915,1.2660170336186154,1.0414935882824174,0.3838479251409842,0.46958613925954806,2.1071193632964746,1.429819271202699,9.730714769680269,2.0,2.0,1.153680826161904,1.3380080205379097
6,2024,04,02,02,7,Y,N,Cherry Barb,0,13.98939017656023,0.3709525933954391,1.1886239643114482,1.1857353445048033,0.37273831425134707,0.5564695451568595,2.6388427261535563,1.4160947232612877,10.064199356045563,1.0,1.2105263157894737,1.1348622553060956,1.7869040409149646
7,2024,04,02,02,8,Y,N,Cherry Barb,0,13.88962230560924,0.392525932002343,1.1375713062333417,1.4558591749786265,0.37167428753520215,0.47618509234307843,2.401956451011349,1.5998582920904056,5.680354340848746,1.0,1.2105263157894737,1.1087057356671801,0.9646873941785674
8,2024,04,02,02,9,Y,N,Cherry Barb,0,13.837241413293656,0.4174480599137977,0.8126792910970408,1.4483128967578118,0.2980075517644247,0.5601865611006189,2.2407180086730407,1.5462157019832643,2.074098307045127,1.0,1.0,0.9299622818237614,0.7064064156357702
9,2024,04,02,02,10,Y,N,Cherry Barb,0,13.890293307776876,0.4562637062002418,0.775826994224811,1.4018766288273348,0.2755228075079798,0.6005715222471074,2.1647193269523988,1.4865343341052888,1.5944170254475354,1.0,1.0,0.8339410887428091,0.6762743785829209
10,2024,04,02,02,11,Y,N,Cherry Barb,0,13.925403428136166,0.5367541768917871,0.8045301839338934,1.6063647326130608,0.2984732989220663,0.40013064639875445,1.703121525055961,1.6826890736947349,0.734677082277466,3.0,2.3157894736842106,0.7866138347609715,0.7041728468783255
11,2024,04,02,02,12,Y,N,Cherry Barb,0,14.226864801625123,0.6046080246200779,1.0629016147377992,1.7148339969202253,0.2614830098421228,0.25282561358369415,2.9017223713932143,2.1061206154559664,0.40863067799747055,3.0,3.0,0.6429303045672425,1.1057486854853882
12,2024,04,02,02,13,Y,N,Cherry Barb,0,14.609484714079906,0.6442562222664574,0.8561028735763409,1.4665026109442256,0.23564039022742625,0.477880941991301,2.024884023751452,1.2891884599797911,3.0736111205469916,1.0,1.368421052631579,0.6622720612415761,0.8799176548777871
13,2024,04,02,02,14,Y,N,Cherry Barb,0,14.71789416233146,0.7196472718111351,0.7967831514430473,1.4562119865510361,0.26305164415965865,0.44759579737048744,2.4940819255963227,1.1812336810306487,4.164564609219172,1.0,1.0,0.8509356763717401,0.6423715383095564
14,2024,04,02,02,15,Y,N,Cherry Barb,0,14.73297047591331,0.7778369830624554,0.6844118409624625,1.5809798216070081,0.2934401774739967,0.343817363283369,2.3789947228807833,1.1839169174288309,2.6630677732545176,1.0,1.1578947368421053,0.8940660505913425,0.5944714853866833
15,2024,04,02,02,16,Y,N,Cherry Barb,0,14.873878873794267,0.7583065690017934,0.6639374174677833,1.4405169671403435,0.5446823706727608,0.5248324075104224,4.0373173974959995,1.2523288513030852,11.971180691601901,1.0,1.0,1.770855800064353,0.754312786522925
16,2024,04,02,02,17,Y,N,Cherry Barb,0,14.915165694136169,0.7897130608922748,0.6752888204268345,1.4468181839783427,0.6038246780038662,0.5547864454735482,2.8574407620707074,1.3312684468210683,14.127388041601247,1.0,1.0,1.850449409884718,0.5996136320621038
17,2024,04,02,02,18,Y,N,Cherry Barb,0,14.917078708784436,0.8245918098077205,0.7527355064034476,1.3963060954168456,0.7008153284410564,0.5340124008171088,2.2526724226016333,1.3669033887808433,17.817878492739613,1.0,1.0,2.1013504673352497,0.5921522045727639
18,2024,04,02,02,19,Y,N,Cherry Barb,0,14.861397682170539,0.7792007676030209,0.8496339031905458,1.406808562414095,0.6849564302276874,0.5419444962892777,2.4620665704903604,1.4500274433218834,16.85794967479998,1.0,1.4210526315789473,2.070751704233172,0.3788483628137741
